target,location,truth_date,year_week,value,data_source
hospital admissions,AT,2022-11-13,2022-W45,149,ERVISS
hospital admissions,AT,2022-11-06,2022-W44,140,ERVISS
hospital admissions,AT,2022-10-30,2022-W43,166,ERVISS
hospital admissions,AT,2022-10-23,2022-W42,184,ERVISS
hospital admissions,AT,2022-10-16,2022-W41,238,ERVISS
hospital admissions,AT,2022-10-09,2022-W40,25,ERVISS
hospital admissions,AT,2022-10-02,2022-W39,423,ERVISS
hospital admissions,AT,2022-09-25,2022-W38,385,ERVISS
hospital admissions,AT,2022-09-18,2022-W37,296,ERVISS
hospital admissions,AT,2022-09-11,2022-W36,222,ERVISS
hospital admissions,AT,2022-09-04,2022-W35,242,ERVISS
hospital admissions,AT,2022-08-28,2022-W34,261,ERVISS
hospital admissions,AT,2022-08-21,2022-W33,310,ERVISS
hospital admissions,AT,2022-08-14,2022-W32,249,ERVISS
hospital admissions,AT,2022-08-07,2022-W31,298,ERVISS
hospital admissions,AT,2022-07-31,2022-W30,469,ERVISS
hospital admissions,AT,2022-07-24,2022-W29,559,ERVISS
hospital admissions,AT,2022-07-17,2022-W28,609,ERVISS
hospital admissions,AT,2022-07-10,2022-W27,449,ERVISS
hospital admissions,AT,2022-07-03,2022-W26,409,ERVISS
hospital admissions,AT,2022-06-26,2022-W25,377,ERVISS
hospital admissions,AT,2022-06-19,2022-W24,269,ERVISS
hospital admissions,AT,2022-06-12,2022-W23,191,ERVISS
hospital admissions,AT,2022-06-05,2022-W22,205,ERVISS
hospital admissions,AT,2022-05-29,2022-W21,170,ERVISS
hospital admissions,AT,2022-05-22,2022-W20,173,ERVISS
hospital admissions,AT,2022-05-15,2022-W19,230,ERVISS
hospital admissions,AT,2022-05-08,2022-W18,287,ERVISS
hospital admissions,AT,2022-05-01,2022-W17,332,ERVISS
hospital admissions,AT,2022-04-24,2022-W16,331,ERVISS
hospital admissions,AT,2022-04-17,2022-W15,457,ERVISS
hospital admissions,AT,2022-04-10,2022-W14,569,ERVISS
hospital admissions,AT,2022-04-03,2022-W13,743,ERVISS
hospital admissions,AT,2022-03-27,2022-W12,953,ERVISS
hospital admissions,AT,2022-03-20,2022-W11,870,ERVISS
hospital admissions,AT,2022-03-13,2022-W10,875,ERVISS
hospital admissions,AT,2022-03-06,2022-W09,786,ERVISS
hospital admissions,AT,2022-02-27,2022-W08,752,ERVISS
hospital admissions,AT,2022-02-20,2022-W07,763,ERVISS
hospital admissions,AT,2022-02-13,2022-W06,707,ERVISS
hospital admissions,AT,2022-02-06,2022-W05,711,ERVISS
hospital admissions,AT,2022-01-30,2022-W04,621,ERVISS
hospital admissions,AT,2022-01-23,2022-W03,486,ERVISS
hospital admissions,AT,2022-01-16,2022-W02,391,ERVISS
hospital admissions,AT,2022-01-09,2022-W01,276,ERVISS
hospital admissions,AT,2022-01-02,2021-W52,225,ERVISS
hospital admissions,AT,2021-12-26,2021-W51,209,ERVISS
hospital admissions,AT,2021-12-19,2021-W50,327,ERVISS
hospital admissions,AT,2021-12-12,2021-W49,441,ERVISS
hospital admissions,AT,2021-12-05,2021-W48,752,ERVISS
hospital admissions,AT,2021-11-28,2021-W47,1020,ERVISS
hospital admissions,AT,2021-11-21,2021-W46,1088,ERVISS
hospital admissions,AT,2021-11-14,2021-W45,922,ERVISS
hospital admissions,AT,2021-11-07,2021-W44,740,ERVISS
hospital admissions,AT,2021-10-31,2021-W43,563,ERVISS
hospital admissions,AT,2021-10-24,2021-W42,443,ERVISS
hospital admissions,AT,2021-10-17,2021-W41,281,ERVISS
hospital admissions,AT,2021-10-10,2021-W40,278,ERVISS
hospital admissions,AT,2021-10-03,2021-W39,273,ERVISS
hospital admissions,AT,2021-09-26,2021-W38,257,ERVISS
hospital admissions,AT,2021-09-19,2021-W37,260,ERVISS
hospital admissions,AT,2021-09-12,2021-W36,285,ERVISS
hospital admissions,AT,2021-09-05,2021-W35,242,ERVISS
hospital admissions,AT,2021-08-29,2021-W34,219,ERVISS
hospital admissions,AT,2021-08-22,2021-W33,165,ERVISS
hospital admissions,AT,2021-08-15,2021-W32,125,ERVISS
hospital admissions,AT,2021-08-08,2021-W31,74,ERVISS
hospital admissions,AT,2021-08-01,2021-W30,43,ERVISS
hospital admissions,AT,2021-07-25,2021-W29,41,ERVISS
hospital admissions,AT,2021-07-18,2021-W28,37,ERVISS
hospital admissions,AT,2021-07-11,2021-W27,23,ERVISS
hospital admissions,AT,2021-07-04,2021-W26,25,ERVISS
hospital admissions,AT,2021-06-27,2021-W25,34,ERVISS
hospital admissions,BE,2023-07-02,2023-W26,116,ERVISS
hospital admissions,BE,2023-06-25,2023-W25,139,ERVISS
hospital admissions,BE,2023-06-18,2023-W24,211,ERVISS
hospital admissions,BE,2023-06-11,2023-W23,238,ERVISS
hospital admissions,BE,2023-06-04,2023-W22,306,ERVISS
hospital admissions,BE,2023-05-28,2023-W21,394,ERVISS
hospital admissions,BE,2023-05-21,2023-W20,549,ERVISS
hospital admissions,BE,2023-05-14,2023-W19,655,ERVISS
hospital admissions,BE,2023-05-07,2023-W18,830,ERVISS
hospital admissions,BE,2023-04-30,2023-W17,960,ERVISS
hospital admissions,BE,2023-04-23,2023-W16,1184,ERVISS
hospital admissions,BE,2023-04-16,2023-W15,1349,ERVISS
hospital admissions,BE,2023-04-09,2023-W14,1507,ERVISS
hospital admissions,BE,2023-04-02,2023-W13,1954,ERVISS
hospital admissions,BE,2023-03-26,2023-W12,2237,ERVISS
hospital admissions,BE,2023-03-19,2023-W11,2347,ERVISS
hospital admissions,BE,2023-03-12,2023-W10,1981,ERVISS
hospital admissions,BE,2023-03-05,2023-W09,1735,ERVISS
hospital admissions,BE,2023-02-26,2023-W08,1540,ERVISS
hospital admissions,BE,2023-02-19,2023-W07,1215,ERVISS
hospital admissions,BE,2023-02-12,2023-W06,950,ERVISS
hospital admissions,BE,2023-02-05,2023-W05,808,ERVISS
hospital admissions,BE,2023-01-29,2023-W04,663,ERVISS
hospital admissions,BE,2023-01-22,2023-W03,857,ERVISS
hospital admissions,BE,2023-01-15,2023-W02,1086,ERVISS
hospital admissions,BE,2023-01-08,2023-W01,1594,ERVISS
hospital admissions,BE,2023-01-01,2022-W52,799,ERVISS
hospital admissions,BE,2022-12-25,2022-W51,932,ERVISS
hospital admissions,BE,2022-12-18,2022-W50,890,ERVISS
hospital admissions,BE,2022-12-11,2022-W49,666,ERVISS
hospital admissions,BE,2022-12-04,2022-W48,533,ERVISS
hospital admissions,BE,2022-11-27,2022-W47,416,ERVISS
hospital admissions,BE,2022-11-20,2022-W46,330,ERVISS
hospital admissions,BE,2022-11-13,2022-W45,363,ERVISS
hospital admissions,BE,2022-11-06,2022-W44,344,ERVISS
hospital admissions,BE,2022-10-30,2022-W43,512,ERVISS
hospital admissions,BE,2022-10-23,2022-W42,747,ERVISS
hospital admissions,BE,2022-10-16,2022-W41,742,ERVISS
hospital admissions,BE,2022-10-09,2022-W40,772,ERVISS
hospital admissions,BE,2022-10-02,2022-W39,651,ERVISS
hospital admissions,BE,2022-09-25,2022-W38,487,ERVISS
hospital admissions,BE,2022-09-18,2022-W37,382,ERVISS
hospital admissions,BE,2022-09-11,2022-W36,394,ERVISS
hospital admissions,BE,2022-09-04,2022-W35,414,ERVISS
hospital admissions,BE,2022-08-28,2022-W34,462,ERVISS
hospital admissions,BE,2022-08-21,2022-W33,556,ERVISS
hospital admissions,BE,2022-08-14,2022-W32,660,ERVISS
hospital admissions,BE,2022-08-07,2022-W31,796,ERVISS
hospital admissions,BE,2022-07-31,2022-W30,933,ERVISS
hospital admissions,BE,2022-07-24,2022-W29,1099,ERVISS
hospital admissions,BE,2022-07-17,2022-W28,1172,ERVISS
hospital admissions,BE,2022-07-10,2022-W27,1010,ERVISS
hospital admissions,BE,2022-07-03,2022-W26,838,ERVISS
hospital admissions,BE,2022-06-26,2022-W25,700,ERVISS
hospital admissions,BE,2022-06-19,2022-W24,512,ERVISS
hospital admissions,BE,2022-06-12,2022-W23,415,ERVISS
hospital admissions,BE,2022-06-05,2022-W22,362,ERVISS
hospital admissions,BE,2022-05-29,2022-W21,446,ERVISS
hospital admissions,BE,2022-05-22,2022-W20,568,ERVISS
hospital admissions,BE,2022-05-15,2022-W19,734,ERVISS
hospital admissions,BE,2022-05-08,2022-W18,899,ERVISS
hospital admissions,BE,2022-05-01,2022-W17,988,ERVISS
hospital admissions,BE,2022-04-24,2022-W16,1253,ERVISS
hospital admissions,BE,2022-04-17,2022-W15,1528,ERVISS
hospital admissions,BE,2022-04-10,2022-W14,1512,ERVISS
hospital admissions,BE,2022-04-03,2022-W13,1535,ERVISS
hospital admissions,BE,2022-03-27,2022-W12,1418,ERVISS
hospital admissions,BE,2022-03-20,2022-W11,1226,ERVISS
hospital admissions,BE,2022-03-13,2022-W10,1024,ERVISS
hospital admissions,BE,2022-03-06,2022-W09,985,ERVISS
hospital admissions,BE,2022-02-27,2022-W08,1051,ERVISS
hospital admissions,BE,2022-02-20,2022-W07,1468,ERVISS
hospital admissions,BE,2022-02-13,2022-W06,1958,ERVISS
hospital admissions,BE,2022-02-06,2022-W05,2444,ERVISS
hospital admissions,BE,2022-01-30,2022-W04,2523,ERVISS
hospital admissions,BE,2022-01-23,2022-W03,2068,ERVISS
hospital admissions,BE,2022-01-16,2022-W02,1400,ERVISS
hospital admissions,BE,2022-01-09,2022-W01,1285,ERVISS
hospital admissions,BE,2022-01-02,2021-W52,1037,ERVISS
hospital admissions,BE,2021-12-26,2021-W51,996,ERVISS
hospital admissions,BE,2021-12-19,2021-W50,1375,ERVISS
hospital admissions,BE,2021-12-12,2021-W49,1908,ERVISS
hospital admissions,BE,2021-12-05,2021-W48,2174,ERVISS
hospital admissions,BE,2021-11-28,2021-W47,2197,ERVISS
hospital admissions,BE,2021-11-21,2021-W46,1967,ERVISS
hospital admissions,BE,2021-11-14,2021-W45,1622,ERVISS
hospital admissions,BE,2021-11-07,2021-W44,1242,ERVISS
hospital admissions,BE,2021-10-31,2021-W43,1072,ERVISS
hospital admissions,BE,2021-10-24,2021-W42,774,ERVISS
hospital admissions,BE,2021-10-17,2021-W41,485,ERVISS
hospital admissions,BE,2021-10-10,2021-W40,391,ERVISS
hospital admissions,BE,2021-10-03,2021-W39,426,ERVISS
hospital admissions,BE,2021-09-26,2021-W38,355,ERVISS
hospital admissions,BE,2021-09-19,2021-W37,430,ERVISS
hospital admissions,BE,2021-09-12,2021-W36,426,ERVISS
hospital admissions,BE,2021-09-05,2021-W35,483,ERVISS
hospital admissions,BE,2021-08-29,2021-W34,421,ERVISS
hospital admissions,BE,2021-08-22,2021-W33,412,ERVISS
hospital admissions,BE,2021-08-15,2021-W32,384,ERVISS
hospital admissions,BE,2021-08-08,2021-W31,303,ERVISS
hospital admissions,BE,2021-08-01,2021-W30,251,ERVISS
hospital admissions,BE,2021-07-25,2021-W29,201,ERVISS
hospital admissions,BE,2021-07-18,2021-W28,169,ERVISS
hospital admissions,BE,2021-07-11,2021-W27,118,ERVISS
hospital admissions,BE,2021-07-04,2021-W26,109,ERVISS
hospital admissions,BE,2021-06-27,2021-W25,161,ERVISS
hospital admissions,BG,2021-12-26,2021-W51,1,ERVISS
hospital admissions,BG,2021-12-19,2021-W50,2,ERVISS
hospital admissions,CY,2024-12-01,2024-W48,18,ERVISS
hospital admissions,CY,2024-11-24,2024-W47,21,ERVISS
hospital admissions,CY,2024-11-17,2024-W46,16,ERVISS
hospital admissions,CY,2024-11-10,2024-W45,25,ERVISS
hospital admissions,CY,2024-11-03,2024-W44,28,ERVISS
hospital admissions,CY,2024-10-27,2024-W43,21,ERVISS
hospital admissions,CY,2024-10-20,2024-W42,19,ERVISS
hospital admissions,CY,2024-10-13,2024-W41,19,ERVISS
hospital admissions,CY,2024-10-06,2024-W40,21,ERVISS
hospital admissions,CY,2024-09-29,2024-W39,25,ERVISS
hospital admissions,CY,2024-09-22,2024-W38,16,ERVISS
hospital admissions,CY,2024-09-15,2024-W37,22,ERVISS
hospital admissions,CY,2024-09-08,2024-W36,29,ERVISS
hospital admissions,CY,2024-09-01,2024-W35,40,ERVISS
hospital admissions,CY,2024-08-25,2024-W34,35,ERVISS
hospital admissions,CY,2024-08-18,2024-W33,51,ERVISS
hospital admissions,CY,2024-08-11,2024-W32,54,ERVISS
hospital admissions,CY,2024-08-04,2024-W31,49,ERVISS
hospital admissions,CY,2024-07-28,2024-W30,72,ERVISS
hospital admissions,CY,2024-07-21,2024-W29,64,ERVISS
hospital admissions,CY,2024-07-14,2024-W28,79,ERVISS
hospital admissions,CY,2024-07-07,2024-W27,67,ERVISS
hospital admissions,CY,2024-06-30,2024-W26,58,ERVISS
hospital admissions,CY,2024-06-23,2024-W25,34,ERVISS
hospital admissions,CY,2024-06-16,2024-W24,22,ERVISS
hospital admissions,CY,2024-06-09,2024-W23,16,ERVISS
hospital admissions,CY,2024-06-02,2024-W22,13,ERVISS
hospital admissions,CY,2024-05-26,2024-W21,8,ERVISS
hospital admissions,CY,2024-05-19,2024-W20,6,ERVISS
hospital admissions,CY,2024-05-12,2024-W19,6,ERVISS
hospital admissions,CY,2024-05-05,2024-W18,7,ERVISS
hospital admissions,CY,2024-04-28,2024-W17,3,ERVISS
hospital admissions,CY,2024-04-21,2024-W16,2,ERVISS
hospital admissions,CY,2024-04-14,2024-W15,4,ERVISS
hospital admissions,CY,2024-04-07,2024-W14,6,ERVISS
hospital admissions,CY,2024-03-31,2024-W13,11,ERVISS
hospital admissions,CY,2024-03-24,2024-W12,7,ERVISS
hospital admissions,CY,2024-03-17,2024-W11,8,ERVISS
hospital admissions,CY,2024-03-10,2024-W10,6,ERVISS
hospital admissions,CY,2024-03-03,2024-W09,16,ERVISS
hospital admissions,CY,2024-02-25,2024-W08,13,ERVISS
hospital admissions,CY,2024-02-18,2024-W07,15,ERVISS
hospital admissions,CY,2024-02-11,2024-W06,25,ERVISS
hospital admissions,CY,2024-02-04,2024-W05,21,ERVISS
hospital admissions,CY,2024-01-28,2024-W04,46,ERVISS
hospital admissions,CY,2024-01-21,2024-W03,54,ERVISS
hospital admissions,CY,2024-01-14,2024-W02,109,ERVISS
hospital admissions,CY,2024-01-07,2024-W01,109,ERVISS
hospital admissions,CY,2023-12-31,2023-W52,111,ERVISS
hospital admissions,CY,2023-12-24,2023-W51,77,ERVISS
hospital admissions,CY,2023-12-17,2023-W50,60,ERVISS
hospital admissions,CY,2023-12-10,2023-W49,54,ERVISS
hospital admissions,CY,2023-12-03,2023-W48,36,ERVISS
hospital admissions,CY,2023-11-26,2023-W47,16,ERVISS
hospital admissions,CY,2023-11-19,2023-W46,24,ERVISS
hospital admissions,CY,2023-11-12,2023-W45,28,ERVISS
hospital admissions,CY,2023-11-05,2023-W44,27,ERVISS
hospital admissions,CY,2023-10-29,2023-W43,38,ERVISS
hospital admissions,CY,2023-10-22,2023-W42,28,ERVISS
hospital admissions,CY,2023-10-15,2023-W41,51,ERVISS
hospital admissions,CY,2023-10-08,2023-W40,47,ERVISS
hospital admissions,CY,2023-10-01,2023-W39,54,ERVISS
hospital admissions,CY,2023-09-24,2023-W38,45,ERVISS
hospital admissions,CY,2023-09-17,2023-W37,37,ERVISS
hospital admissions,CY,2023-09-10,2023-W36,31,ERVISS
hospital admissions,CY,2023-09-03,2023-W35,35,ERVISS
hospital admissions,CY,2023-08-27,2023-W34,47,ERVISS
hospital admissions,CY,2023-08-20,2023-W33,59,ERVISS
hospital admissions,CY,2023-08-13,2023-W32,31,ERVISS
hospital admissions,CY,2023-08-06,2023-W31,38,ERVISS
hospital admissions,CY,2023-07-30,2023-W30,45,ERVISS
hospital admissions,CY,2023-07-23,2023-W29,30,ERVISS
hospital admissions,CY,2023-07-16,2023-W28,16,ERVISS
hospital admissions,CY,2023-07-09,2023-W27,9,ERVISS
hospital admissions,CY,2023-07-02,2023-W26,8,ERVISS
hospital admissions,CY,2023-06-25,2023-W25,10,ERVISS
hospital admissions,CY,2023-06-18,2023-W24,16,ERVISS
hospital admissions,CY,2023-06-11,2023-W23,18,ERVISS
hospital admissions,CY,2023-06-04,2023-W22,36,ERVISS
hospital admissions,CY,2023-05-28,2023-W21,30,ERVISS
hospital admissions,CY,2023-05-21,2023-W20,51,ERVISS
hospital admissions,CY,2023-05-14,2023-W19,46,ERVISS
hospital admissions,CY,2023-05-07,2023-W18,30,ERVISS
hospital admissions,CY,2023-04-30,2023-W17,34,ERVISS
hospital admissions,CY,2023-04-23,2023-W16,51,ERVISS
hospital admissions,CY,2023-04-16,2023-W15,33,ERVISS
hospital admissions,CY,2023-04-09,2023-W14,41,ERVISS
hospital admissions,CY,2023-04-02,2023-W13,37,ERVISS
hospital admissions,CY,2023-03-26,2023-W12,31,ERVISS
hospital admissions,CY,2023-03-19,2023-W11,31,ERVISS
hospital admissions,CY,2023-03-12,2023-W10,35,ERVISS
hospital admissions,CY,2023-03-05,2023-W09,39,ERVISS
hospital admissions,CY,2023-02-26,2023-W08,8,ERVISS
hospital admissions,CY,2023-02-19,2023-W07,3,ERVISS
hospital admissions,CY,2023-02-12,2023-W06,7,ERVISS
hospital admissions,CY,2023-02-05,2023-W05,18,ERVISS
hospital admissions,CY,2023-01-29,2023-W04,31,ERVISS
hospital admissions,CY,2023-01-22,2023-W03,48,ERVISS
hospital admissions,CY,2023-01-15,2023-W02,85,ERVISS
hospital admissions,CY,2023-01-08,2023-W01,70,ERVISS
hospital admissions,CY,2023-01-01,2022-W52,51,ERVISS
hospital admissions,CY,2022-12-25,2022-W51,63,ERVISS
hospital admissions,CY,2022-12-18,2022-W50,61,ERVISS
hospital admissions,CY,2022-12-11,2022-W49,69,ERVISS
hospital admissions,CY,2022-12-04,2022-W48,72,ERVISS
hospital admissions,CY,2022-11-27,2022-W47,63,ERVISS
hospital admissions,CY,2022-11-20,2022-W46,70,ERVISS
hospital admissions,CY,2022-11-13,2022-W45,52,ERVISS
hospital admissions,CY,2022-11-06,2022-W44,68,ERVISS
hospital admissions,CY,2022-10-30,2022-W43,59,ERVISS
hospital admissions,CY,2022-10-23,2022-W42,46,ERVISS
hospital admissions,CY,2022-10-16,2022-W41,53,ERVISS
hospital admissions,CY,2022-10-09,2022-W40,38,ERVISS
hospital admissions,CY,2022-10-02,2022-W39,38,ERVISS
hospital admissions,CY,2022-09-25,2022-W38,48,ERVISS
hospital admissions,CY,2022-09-18,2022-W37,47,ERVISS
hospital admissions,CY,2022-09-11,2022-W36,33,ERVISS
hospital admissions,CY,2022-09-04,2022-W35,32,ERVISS
hospital admissions,CY,2022-08-28,2022-W34,38,ERVISS
hospital admissions,CY,2022-08-21,2022-W33,58,ERVISS
hospital admissions,CY,2022-08-14,2022-W32,42,ERVISS
hospital admissions,CY,2022-08-07,2022-W31,69,ERVISS
hospital admissions,CY,2022-07-31,2022-W30,65,ERVISS
hospital admissions,CY,2022-07-24,2022-W29,100,ERVISS
hospital admissions,CY,2022-07-17,2022-W28,115,ERVISS
hospital admissions,CY,2022-07-10,2022-W27,130,ERVISS
hospital admissions,CY,2022-07-03,2022-W26,107,ERVISS
hospital admissions,CY,2022-06-26,2022-W25,74,ERVISS
hospital admissions,CY,2022-06-19,2022-W24,48,ERVISS
hospital admissions,CY,2022-06-12,2022-W23,20,ERVISS
hospital admissions,CY,2022-06-05,2022-W22,32,ERVISS
hospital admissions,CY,2022-05-29,2022-W21,25,ERVISS
hospital admissions,CY,2022-05-22,2022-W20,29,ERVISS
hospital admissions,CY,2022-05-15,2022-W19,30,ERVISS
hospital admissions,CY,2022-05-08,2022-W18,33,ERVISS
hospital admissions,CY,2022-05-01,2022-W17,53,ERVISS
hospital admissions,CY,2022-04-24,2022-W16,49,ERVISS
hospital admissions,CY,2022-04-17,2022-W15,76,ERVISS
hospital admissions,CY,2022-04-10,2022-W14,164,ERVISS
hospital admissions,CY,2022-04-03,2022-W13,192,ERVISS
hospital admissions,CY,2022-03-27,2022-W12,195,ERVISS
hospital admissions,CY,2022-03-20,2022-W11,156,ERVISS
hospital admissions,CY,2022-03-13,2022-W10,95,ERVISS
hospital admissions,CY,2022-03-06,2022-W09,101,ERVISS
hospital admissions,CY,2022-02-27,2022-W08,120,ERVISS
hospital admissions,CY,2022-02-20,2022-W07,136,ERVISS
hospital admissions,CY,2022-02-13,2022-W06,155,ERVISS
hospital admissions,CY,2022-02-06,2022-W05,165,ERVISS
hospital admissions,CY,2022-01-30,2022-W04,161,ERVISS
hospital admissions,CY,2022-01-23,2022-W03,158,ERVISS
hospital admissions,CY,2022-01-16,2022-W02,188,ERVISS
hospital admissions,CY,2022-01-09,2022-W01,216,ERVISS
hospital admissions,CY,2022-01-02,2021-W52,153,ERVISS
hospital admissions,CY,2021-12-26,2021-W51,108,ERVISS
hospital admissions,CY,2021-12-19,2021-W50,127,ERVISS
hospital admissions,CY,2021-12-12,2021-W49,111,ERVISS
hospital admissions,CY,2021-12-05,2021-W48,82,ERVISS
hospital admissions,CY,2021-11-28,2021-W47,72,ERVISS
hospital admissions,CY,2021-11-21,2021-W46,68,ERVISS
hospital admissions,CY,2021-11-14,2021-W45,59,ERVISS
hospital admissions,CY,2021-11-07,2021-W44,40,ERVISS
hospital admissions,CY,2021-10-31,2021-W43,43,ERVISS
hospital admissions,CY,2021-10-24,2021-W42,33,ERVISS
hospital admissions,CY,2021-10-17,2021-W41,37,ERVISS
hospital admissions,CY,2021-10-10,2021-W40,29,ERVISS
hospital admissions,CY,2021-10-03,2021-W39,31,ERVISS
hospital admissions,CY,2021-09-26,2021-W38,40,ERVISS
hospital admissions,CY,2021-09-19,2021-W37,54,ERVISS
hospital admissions,CY,2021-09-12,2021-W36,77,ERVISS
hospital admissions,CY,2021-09-05,2021-W35,92,ERVISS
hospital admissions,CY,2021-08-29,2021-W34,92,ERVISS
hospital admissions,CY,2021-08-22,2021-W33,123,ERVISS
hospital admissions,CY,2021-08-15,2021-W32,149,ERVISS
hospital admissions,CY,2021-08-08,2021-W31,203,ERVISS
hospital admissions,CY,2021-08-01,2021-W30,226,ERVISS
hospital admissions,CY,2021-07-25,2021-W29,243,ERVISS
hospital admissions,CY,2021-07-18,2021-W28,194,ERVISS
hospital admissions,CY,2021-07-11,2021-W27,140,ERVISS
hospital admissions,CY,2021-07-04,2021-W26,75,ERVISS
hospital admissions,CY,2021-06-27,2021-W25,33,ERVISS
hospital admissions,CZ,2025-06-22,2025-W25,7,ERVISS
hospital admissions,CZ,2025-06-15,2025-W24,2,ERVISS
hospital admissions,CZ,2025-06-08,2025-W23,8,ERVISS
hospital admissions,CZ,2025-06-01,2025-W22,11,ERVISS
hospital admissions,CZ,2025-05-25,2025-W21,6,ERVISS
hospital admissions,CZ,2025-05-18,2025-W20,7,ERVISS
hospital admissions,CZ,2025-05-11,2025-W19,1,ERVISS
hospital admissions,CZ,2025-05-04,2025-W18,2,ERVISS
hospital admissions,CZ,2025-04-27,2025-W17,2,ERVISS
hospital admissions,CZ,2025-04-20,2025-W16,6,ERVISS
hospital admissions,CZ,2025-04-13,2025-W15,5,ERVISS
hospital admissions,CZ,2025-04-06,2025-W14,4,ERVISS
hospital admissions,CZ,2025-03-30,2025-W13,4,ERVISS
hospital admissions,CZ,2025-03-23,2025-W12,5,ERVISS
hospital admissions,CZ,2025-03-16,2025-W11,8,ERVISS
hospital admissions,CZ,2025-03-09,2025-W10,9,ERVISS
hospital admissions,CZ,2025-03-02,2025-W09,20,ERVISS
hospital admissions,CZ,2025-02-23,2025-W08,13,ERVISS
hospital admissions,CZ,2025-02-16,2025-W07,10,ERVISS
hospital admissions,CZ,2025-02-09,2025-W06,16,ERVISS
hospital admissions,CZ,2025-02-02,2025-W05,16,ERVISS
hospital admissions,CZ,2025-01-26,2025-W04,21,ERVISS
hospital admissions,CZ,2025-01-19,2025-W03,19,ERVISS
hospital admissions,CZ,2025-01-12,2025-W02,45,ERVISS
hospital admissions,CZ,2025-01-05,2025-W01,33,ERVISS
hospital admissions,CZ,2024-12-29,2024-W52,27,ERVISS
hospital admissions,CZ,2024-12-22,2024-W51,46,ERVISS
hospital admissions,CZ,2024-12-15,2024-W50,82,ERVISS
hospital admissions,CZ,2024-12-08,2024-W49,69,ERVISS
hospital admissions,CZ,2024-12-01,2024-W48,70,ERVISS
hospital admissions,CZ,2024-11-24,2024-W47,77,ERVISS
hospital admissions,CZ,2024-11-17,2024-W46,75,ERVISS
hospital admissions,CZ,2024-11-10,2024-W45,101,ERVISS
hospital admissions,CZ,2024-11-03,2024-W44,127,ERVISS
hospital admissions,CZ,2024-10-27,2024-W43,200,ERVISS
hospital admissions,CZ,2024-10-20,2024-W42,227,ERVISS
hospital admissions,CZ,2024-10-13,2024-W41,285,ERVISS
hospital admissions,CZ,2024-10-06,2024-W40,286,ERVISS
hospital admissions,CZ,2024-09-29,2024-W39,253,ERVISS
hospital admissions,CZ,2024-09-22,2024-W38,162,ERVISS
hospital admissions,CZ,2024-09-15,2024-W37,77,ERVISS
hospital admissions,CZ,2024-09-08,2024-W36,63,ERVISS
hospital admissions,CZ,2024-09-01,2024-W35,50,ERVISS
hospital admissions,CZ,2024-08-25,2024-W34,31,ERVISS
hospital admissions,CZ,2024-08-18,2024-W33,53,ERVISS
hospital admissions,CZ,2024-08-11,2024-W32,32,ERVISS
hospital admissions,CZ,2024-08-04,2024-W31,13,ERVISS
hospital admissions,CZ,2024-07-28,2024-W30,13,ERVISS
hospital admissions,CZ,2024-07-21,2024-W29,9,ERVISS
hospital admissions,CZ,2024-07-14,2024-W28,7,ERVISS
hospital admissions,CZ,2024-07-07,2024-W27,2,ERVISS
hospital admissions,CZ,2024-06-30,2024-W26,5,ERVISS
hospital admissions,CZ,2024-06-23,2024-W25,4,ERVISS
hospital admissions,CZ,2024-06-16,2024-W24,4,ERVISS
hospital admissions,CZ,2024-06-09,2024-W23,3,ERVISS
